EmployeeID,JobRole,CurrentSkill
42,Sales Representative,ACT! Premium
42,Sales Representative,Speaking
42,Sales Representative,Writing
42,Sales Representative,3M Post-it App
42,Sales Representative,Critical Thinking
42,Sales Representative,Adobe Creative Cloud software
45,Research Scientist,3D graphics software
45,Research Scientist,Reading Comprehension
45,Research Scientist,Critical Thinking
45,Research Scientist,Amazon DynamoDB
45,Research Scientist,Amazon Elastic Compute Cloud EC2
45,Research Scientist,Mathematics
45,Research Scientist,Active Listening
46,Research Scientist,Mathematics
46,Research Scientist,Active Listening
46,Research Scientist,Advanced numerical software
46,Research Scientist,Active Learning
46,Research Scientist,Amazon Elastic Compute Cloud EC2
46,Research Scientist,3D graphics software
47,Sales Representative,Adobe Creative Cloud software
47,Sales Representative,Writing
47,Sales Representative,Adobe Acrobat
47,Sales Representative,ACT! Premium
47,Sales Representative,Critical Thinking
47,Sales Representative,Speaking
47,Sales Representative,Reading Comprehension
47,Sales Representative,Active Listening
49,Sales Representative,Adobe Acrobat
49,Sales Representative,Speaking
49,Sales Representative,Active Listening
49,Sales Representative,Adobe Dreamweaver
49,Sales Representative,Critical Thinking
49,Sales Representative,Adobe Creative Cloud software
49,Sales Representative,Adobe Illustrator
51,Research Scientist,3D graphics software
51,Research Scientist,Amazon DynamoDB
51,Research Scientist,Mathematics
51,Research Scientist,Algorithmic software
51,Research Scientist,Critical Thinking
51,Research Scientist,Active Listening
52,Sales Executive,Airtable
52,Sales Executive,Reading Comprehension
52,Sales Executive,Act!
52,Sales Executive,Speaking
52,Sales Executive,Adobe ActionScript
52,Sales Executive,Apple Keynote
52,Sales Executive,Active Listening
53,Laboratory Technician,Linux
53,Laboratory Technician,Critical Thinking
53,Laboratory Technician,Writing
53,Laboratory Technician,Reading Comprehension
53,Laboratory Technician,C++
53,Laboratory Technician,Database software
54,Laboratory Technician,Critical Thinking
54,Laboratory Technician,Database software
54,Laboratory Technician,Microsoft Access
54,Laboratory Technician,Email software
54,Laboratory Technician,Writing
54,Laboratory Technician,Laboratory information management system LIMS
55,Laboratory Technician,C++
55,Laboratory Technician,Email software
55,Laboratory Technician,Critical Thinking
55,Laboratory Technician,Reading Comprehension
55,Laboratory Technician,Laboratory information management system LIMS
56,Sales Executive,Critical Thinking
56,Sales Executive,Adobe Creative Cloud software
56,Sales Executive,Monitoring
56,Sales Executive,Act!
56,Sales Executive,Speaking
56,Sales Executive,Adobe ActionScript
56,Sales Executive,Airtable
56,Sales Executive,Adobe Acrobat
56,Sales Executive,Apple Keynote
56,Sales Executive,Active Listening
57,Laboratory Technician,Monitoring
57,Laboratory Technician,Laboratory information management system LIMS
57,Laboratory Technician,Linux
57,Laboratory Technician,C++
57,Laboratory Technician,Reading Comprehension
57,Laboratory Technician,Microsoft Access
57,Laboratory Technician,Science
57,Laboratory Technician,Critical Thinking
57,Laboratory Technician,Database software
58,Research Director,Adobe Photoshop
58,Research Director,ESRI ArcGIS software
58,Research Director,Science
58,Research Director,Clinical trial management software
58,Research Director,Adobe Acrobat
58,Research Director,IBM Lotus 1-2-3
58,Research Director,Graphics software
58,Research Director,Active Listening
58,Research Director,Critical Thinking
60,Sales Executive,Adobe ActionScript
60,Sales Executive,Critical Thinking
60,Sales Executive,Act!
60,Sales Executive,Reading Comprehension
60,Sales Executive,Adobe Creative Cloud software
60,Sales Executive,Monitoring
60,Sales Executive,Adobe Acrobat
60,Sales Executive,Airtable
61,Research Scientist,Advanced numerical software
61,Research Scientist,Amazon DynamoDB
61,Research Scientist,Active Learning
61,Research Scientist,3D graphics software
61,Research Scientist,Mathematics
61,Research Scientist,Amazon Elastic Compute Cloud EC2
62,Sales Executive,Speaking
62,Sales Executive,Adobe ActionScript
62,Sales Executive,Act!
62,Sales Executive,Adobe Acrobat
62,Sales Executive,Active Listening
62,Sales Executive,Apple Keynote
62,Sales Executive,Monitoring
62,Sales Executive,Airtable
62,Sales Executive,Critical Thinking
62,Sales Executive,Adobe Creative Cloud software
63,Laboratory Technician,Email software
63,Laboratory Technician,Linux
63,Laboratory Technician,Database software
63,Laboratory Technician,Laboratory information management system LIMS
63,Laboratory Technician,Monitoring
63,Laboratory Technician,C++
63,Laboratory Technician,Microsoft Access
64,Laboratory Technician,Linux
64,Laboratory Technician,Critical Thinking
64,Laboratory Technician,Email software
64,Laboratory Technician,Monitoring
64,Laboratory Technician,Writing
64,Laboratory Technician,Database software
64,Laboratory Technician,Science
64,Laboratory Technician,C++
65,Laboratory Technician,Critical Thinking
65,Laboratory Technician,Database software
65,Laboratory Technician,C++
65,Laboratory Technician,Email software
65,Laboratory Technician,Microsoft Access
68,Sales Executive,Active Listening
68,Sales Executive,Adobe ActionScript
68,Sales Executive,Adobe Acrobat
68,Sales Executive,Act!
68,Sales Executive,Monitoring
68,Sales Executive,Apple Keynote
68,Sales Executive,Airtable
68,Sales Executive,Adobe Creative Cloud software
68,Sales Executive,Critical Thinking
70,Healthcare Representative,Monitoring
70,Healthcare Representative,Critical Thinking
70,Healthcare Representative,Alteer Office
70,Healthcare Representative,Speaking
70,Healthcare Representative,3DGrid HIPAA Checkup
70,Healthcare Representative,Active Listening
70,Healthcare Representative,Adobe Acrobat
70,Healthcare Representative,Reading Comprehension
70,Healthcare Representative,American Medical Association CodeManager
70,Healthcare Representative,Allscripts healthcare automation software
72,Sales Executive,Adobe ActionScript
72,Sales Executive,Apple Keynote
72,Sales Executive,Act!
72,Sales Executive,Critical Thinking
72,Sales Executive,Adobe Creative Cloud software
73,Research Director,Critical Thinking
73,Research Director,Adobe Photoshop
73,Research Director,Active Listening
73,Research Director,Reading Comprehension
73,Research Director,Adobe Acrobat
73,Research Director,IBM Lotus 1-2-3
73,Research Director,Writing
73,Research Director,Science
73,Research Director,ESRI ArcGIS software
73,Research Director,Graphics software
74,Sales Executive,Adobe Creative Cloud software
74,Sales Executive,Speaking
74,Sales Executive,Active Listening
74,Sales Executive,Apple Keynote
74,Sales Executive,Critical Thinking
74,Sales Executive,Adobe Acrobat
74,Sales Executive,Airtable
74,Sales Executive,Reading Comprehension
75,Laboratory Technician,Writing
75,Laboratory Technician,Email software
75,Laboratory Technician,Critical Thinking
75,Laboratory Technician,Science
76,Laboratory Technician,C++
76,Laboratory Technician,Linux
76,Laboratory Technician,Critical Thinking
76,Laboratory Technician,Microsoft Access
76,Laboratory Technician,Monitoring
76,Laboratory Technician,Reading Comprehension
76,Laboratory Technician,Science
76,Laboratory Technician,Database software
76,Laboratory Technician,Laboratory information management system LIMS
77,Manufacturing Director,Speaking
77,Manufacturing Director,Adobe Acrobat
77,Manufacturing Director,Adobe Photoshop
77,Manufacturing Director,Active Listening
77,Manufacturing Director,Critical Thinking
77,Manufacturing Director,Reading Comprehension
77,Manufacturing Director,ABB Optimize IT Predict & Control
77,Manufacturing Director,Apple Final Cut Pro
78,Manufacturing Director,Monitoring
78,Manufacturing Director,Critical Thinking
78,Manufacturing Director,Adobe Photoshop
78,Manufacturing Director,Adobe After Effects
78,Manufacturing Director,Adobe Acrobat
78,Manufacturing Director,Adobe InDesign
78,Manufacturing Director,Active Listening
78,Manufacturing Director,Speaking
78,Manufacturing Director,Apple Final Cut Pro
79,Laboratory Technician,Critical Thinking
79,Laboratory Technician,Microsoft Access
79,Laboratory Technician,Email software
79,Laboratory Technician,Writing
79,Laboratory Technician,Reading Comprehension
79,Laboratory Technician,Database software
79,Laboratory Technician,C++
80,Research Director,Reading Comprehension
80,Research Director,Writing
80,Research Director,ESRI ArcGIS software
80,Research Director,Adobe Photoshop
80,Research Director,Science
80,Research Director,Critical Thinking
80,Research Director,IBM Lotus 1-2-3
80,Research Director,Active Listening
80,Research Director,Adobe Acrobat
80,Research Director,Clinical trial management software
81,Sales Executive,Apple Keynote
81,Sales Executive,Adobe Acrobat
81,Sales Executive,Adobe ActionScript
81,Sales Executive,Airtable
81,Sales Executive,Monitoring
81,Sales Executive,Act!
81,Sales Executive,Speaking
81,Sales Executive,Reading Comprehension
83,Healthcare Representative,Alteer Office
83,Healthcare Representative,Adobe Acrobat
83,Healthcare Representative,Monitoring
83,Healthcare Representative,AcuStaf
83,Healthcare Representative,Allscripts healthcare automation software
83,Healthcare Representative,Critical Thinking
83,Healthcare Representative,Reading Comprehension
83,Healthcare Representative,American Medical Association CodeManager
83,Healthcare Representative,Active Listening
83,Healthcare Representative,3DGrid HIPAA Checkup
84,Manager,ADP Workforce Now
84,Manager,Adobe Photoshop
84,Manager,Speaking
84,Manager,Reading Comprehension
84,Manager,Monitoring
84,Manager,Adobe Creative Cloud software
84,Manager,Act!
84,Manager,Active Listening
84,Manager,Adobe Acrobat
85,Manufacturing Director,Adobe Acrobat
85,Manufacturing Director,Active Listening
85,Manufacturing Director,Critical Thinking
85,Manufacturing Director,Apple Final Cut Pro
85,Manufacturing Director,Reading Comprehension
85,Manufacturing Director,Monitoring
85,Manufacturing Director,Adobe After Effects
85,Manufacturing Director,Speaking
86,Research Scientist,Algorithmic software
86,Research Scientist,Critical Thinking
86,Research Scientist,Advanced numerical software
86,Research Scientist,Reading Comprehension
86,Research Scientist,Amazon DynamoDB
86,Research Scientist,Amazon Elastic Compute Cloud EC2
86,Research Scientist,Active Listening
88,Research Scientist,Advanced numerical software
88,Research Scientist,3D graphics software
88,Research Scientist,Active Listening
88,Research Scientist,Active Learning
88,Research Scientist,Reading Comprehension
88,Research Scientist,Amazon Elastic Compute Cloud EC2
88,Research Scientist,Critical Thinking
88,Research Scientist,Algorithmic software
90,Research Scientist,Advanced numerical software
90,Research Scientist,Mathematics
90,Research Scientist,Amazon DynamoDB
90,Research Scientist,Algorithmic software
91,Sales Executive,Adobe ActionScript
91,Sales Executive,Critical Thinking
91,Sales Executive,Monitoring
91,Sales Executive,Reading Comprehension
91,Sales Executive,Apple Keynote
91,Sales Executive,Adobe Acrobat
94,Research Scientist,Reading Comprehension
94,Research Scientist,Amazon DynamoDB
94,Research Scientist,Active Listening
94,Research Scientist,Critical Thinking
94,Research Scientist,3D graphics software
94,Research Scientist,Mathematics
94,Research Scientist,Ada
94,Research Scientist,Advanced numerical software
94,Research Scientist,Active Learning
95,Research Scientist,Active Learning
95,Research Scientist,Algorithmic software
95,Research Scientist,Active Listening
95,Research Scientist,Mathematics
96,Research Scientist,Mathematics
96,Research Scientist,Algorithmic software
96,Research Scientist,Amazon DynamoDB
96,Research Scientist,Reading Comprehension
96,Research Scientist,Critical Thinking
96,Research Scientist,Amazon Elastic Compute Cloud EC2
96,Research Scientist,Active Listening
96,Research Scientist,Ada
97,Laboratory Technician,Reading Comprehension
97,Laboratory Technician,Microsoft Access
97,Laboratory Technician,Database software
97,Laboratory Technician,Monitoring
97,Laboratory Technician,C++
97,Laboratory Technician,Writing
97,Laboratory Technician,Laboratory information management system LIMS
98,Manufacturing Director,Apple Final Cut Pro
98,Manufacturing Director,ABB Optimize IT Predict & Control
98,Manufacturing Director,Monitoring
98,Manufacturing Director,Reading Comprehension
98,Manufacturing Director,Active Listening
98,Manufacturing Director,Adobe Photoshop
98,Manufacturing Director,Adobe After Effects
98,Manufacturing Director,Adobe Acrobat
98,Manufacturing Director,Adobe InDesign
100,Sales Executive,Adobe ActionScript
100,Sales Executive,Monitoring
100,Sales Executive,Act!
100,Sales Executive,Reading Comprehension
100,Sales Executive,Airtable
100,Sales Executive,Adobe Acrobat
100,Sales Executive,Critical Thinking
100,Sales Executive,Adobe Creative Cloud software
100,Sales Executive,Speaking
100,Sales Executive,Active Listening
101,Research Director,Adobe Photoshop
101,Research Director,Writing
101,Research Director,ESRI ArcGIS software
101,Research Director,Clinical trial management software
101,Research Director,IBM Lotus 1-2-3
102,Research Director,Science
102,Research Director,Active Listening
102,Research Director,Clinical trial management software
102,Research Director,Critical Thinking
102,Research Director,Writing
102,Research Director,Adobe Acrobat
102,Research Director,Reading Comprehension
102,Research Director,Adobe Photoshop
102,Research Director,IBM Lotus 1-2-3
103,Human Resources,Adobe Human Capital Application Solution Accelerator
103,Human Resources,Adobe Creative Cloud software
103,Human Resources,Adobe Illustrator
103,Human Resources,Adobe Acrobat
103,Human Resources,Active Listening
103,Human Resources,Critical Thinking
103,Human Resources,Writing
104,Laboratory Technician,Writing
104,Laboratory Technician,Critical Thinking
104,Laboratory Technician,Science
104,Laboratory Technician,Monitoring
104,Laboratory Technician,Microsoft Access
104,Laboratory Technician,C++
104,Laboratory Technician,Laboratory information management system LIMS
104,Laboratory Technician,Database software
104,Laboratory Technician,Reading Comprehension
105,Research Scientist,Advanced numerical software
105,Research Scientist,3D graphics software
105,Research Scientist,Active Learning
105,Research Scientist,Amazon DynamoDB
105,Research Scientist,Critical Thinking
105,Research Scientist,Active Listening
105,Research Scientist,Mathematics
106,Sales Executive,Adobe ActionScript
106,Sales Executive,Act!
106,Sales Executive,Speaking
106,Sales Executive,Active Listening
106,Sales Executive,Adobe Acrobat
106,Sales Executive,Apple Keynote
107,Research Scientist,Amazon DynamoDB
107,Research Scientist,Mathematics
107,Research Scientist,Advanced numerical software
107,Research Scientist,Algorithmic software
107,Research Scientist,Reading Comprehension
107,Research Scientist,Amazon Elastic Compute Cloud EC2
107,Research Scientist,Active Learning
107,Research Scientist,Ada
107,Research Scientist,Critical Thinking
110,Manufacturing Director,Apple Final Cut Pro
110,Manufacturing Director,Adobe InDesign
110,Manufacturing Director,Active Listening
110,Manufacturing Director,Monitoring
110,Manufacturing Director,Adobe Acrobat
110,Manufacturing Director,ABB Optimize IT Predict & Control
110,Manufacturing Director,Reading Comprehension
110,Manufacturing Director,Speaking
112,Manufacturing Director,Monitoring
112,Manufacturing Director,Reading Comprehension
112,Manufacturing Director,Adobe InDesign
112,Manufacturing Director,Critical Thinking
112,Manufacturing Director,Speaking
112,Manufacturing Director,Adobe Photoshop
112,Manufacturing Director,Active Listening
112,Manufacturing Director,Adobe After Effects
113,Sales Representative,Active Listening
113,Sales Representative,Speaking
113,Sales Representative,Adobe Dreamweaver
113,Sales Representative,3M Post-it App
116,Laboratory Technician,Monitoring
116,Laboratory Technician,Linux
116,Laboratory Technician,Database software
116,Laboratory Technician,Critical Thinking
116,Laboratory Technician,Reading Comprehension
116,Laboratory Technician,Email software
117,Healthcare Representative,Critical Thinking
117,Healthcare Representative,AcuStaf
117,Healthcare Representative,Allscripts healthcare automation software
117,Healthcare Representative,3DGrid HIPAA Checkup
117,Healthcare Representative,Active Listening
117,Healthcare Representative,American Medical Association CodeManager
117,Healthcare Representative,Monitoring
117,Healthcare Representative,Reading Comprehension
117,Healthcare Representative,Speaking
118,Sales Executive,Active Listening
118,Sales Executive,Adobe ActionScript
118,Sales Executive,Adobe Acrobat
118,Sales Executive,Airtable
118,Sales Executive,Reading Comprehension
118,Sales Executive,Speaking
118,Sales Executive,Adobe Creative Cloud software
118,Sales Executive,Critical Thinking
118,Sales Executive,Act!
119,Healthcare Representative,3DGrid HIPAA Checkup
119,Healthcare Representative,Speaking
119,Healthcare Representative,Allscripts healthcare automation software
119,Healthcare Representative,Critical Thinking
119,Healthcare Representative,Alteer Office
119,Healthcare Representative,Monitoring
119,Healthcare Representative,American Medical Association CodeManager
120,Sales Executive,Reading Comprehension
120,Sales Executive,Adobe ActionScript
120,Sales Executive,Apple Keynote
120,Sales Executive,Active Listening
120,Sales Executive,Adobe Acrobat
120,Sales Executive,Act!
120,Sales Executive,Speaking
120,Sales Executive,Airtable
121,Sales Executive,Act!
121,Sales Executive,Adobe Acrobat
121,Sales Executive,Airtable
121,Sales Executive,Adobe Creative Cloud software
121,Sales Executive,Reading Comprehension
121,Sales Executive,Apple Keynote
121,Sales Executive,Monitoring
121,Sales Executive,Speaking
121,Sales Executive,Adobe ActionScript
121,Sales Executive,Critical Thinking
124,Healthcare Representative,Active Listening
124,Healthcare Representative,Alteer Office
124,Healthcare Representative,AcuStaf
124,Healthcare Representative,Critical Thinking
124,Healthcare Representative,Speaking
124,Healthcare Representative,Monitoring
124,Healthcare Representative,American Medical Association CodeManager
124,Healthcare Representative,Reading Comprehension
124,Healthcare Representative,Allscripts healthcare automation software
124,Healthcare Representative,Adobe Acrobat
125,Sales Executive,Act!
125,Sales Executive,Adobe ActionScript
125,Sales Executive,Speaking
125,Sales Executive,Apple Keynote
125,Sales Executive,Adobe Acrobat
125,Sales Executive,Monitoring
125,Sales Executive,Active Listening
125,Sales Executive,Critical Thinking
126,Research Director,Science
126,Research Director,IBM Lotus 1-2-3
126,Research Director,Active Listening
126,Research Director,Critical Thinking
126,Research Director,Graphics software
126,Research Director,ESRI ArcGIS software
126,Research Director,Clinical trial management software
126,Research Director,Adobe Photoshop
128,Sales Executive,Monitoring
128,Sales Executive,Active Listening
128,Sales Executive,Reading Comprehension
128,Sales Executive,Apple Keynote
128,Sales Executive,Act!
128,Sales Executive,Adobe Creative Cloud software
128,Sales Executive,Adobe Acrobat
129,Sales Executive,Adobe ActionScript
129,Sales Executive,Critical Thinking
129,Sales Executive,Active Listening
129,Sales Executive,Airtable
129,Sales Executive,Adobe Creative Cloud software
129,Sales Executive,Speaking
129,Sales Executive,Adobe Acrobat
129,Sales Executive,Act!
129,Sales Executive,Apple Keynote
131,Sales Executive,Airtable
131,Sales Executive,Speaking
131,Sales Executive,Adobe Creative Cloud software
131,Sales Executive,Apple Keynote
131,Sales Executive,Active Listening
131,Sales Executive,Adobe ActionScript
131,Sales Executive,Reading Comprehension
131,Sales Executive,Act!
132,Laboratory Technician,Database software
132,Laboratory Technician,Critical Thinking
132,Laboratory Technician,Reading Comprehension
132,Laboratory Technician,Science
132,Laboratory Technician,Linux
132,Laboratory Technician,Email software
132,Laboratory Technician,Laboratory information management system LIMS
132,Laboratory Technician,Monitoring
133,Human Resources,Adobe Creative Cloud software
133,Human Resources,Adobe Acrobat
133,Human Resources,Speaking
133,Human Resources,Writing
133,Human Resources,Adobe Human Capital Application Solution Accelerator
133,Human Resources,Adobe InDesign
133,Human Resources,Adobe Dreamweaver
134,Research Scientist,Mathematics
134,Research Scientist,Active Learning
134,Research Scientist,Amazon Elastic Compute Cloud EC2
134,Research Scientist,Active Listening
137,Laboratory Technician,C++
137,Laboratory Technician,Microsoft Access
137,Laboratory Technician,Linux
137,Laboratory Technician,Monitoring
138,Research Scientist,Active Listening
138,Research Scientist,Advanced numerical software
138,Research Scientist,Ada
138,Research Scientist,Critical Thinking
138,Research Scientist,Amazon Elastic Compute Cloud EC2
138,Research Scientist,Mathematics
138,Research Scientist,Reading Comprehension
139,Healthcare Representative,Allscripts healthcare automation software
139,Healthcare Representative,Alteer Office
139,Healthcare Representative,Active Listening
139,Healthcare Representative,Speaking
139,Healthcare Representative,Adobe Acrobat
140,Manager,Speaking
140,Manager,Act!
140,Manager,ActionWare
140,Manager,Adobe Photoshop
140,Manager,Adobe Acrobat
140,Manager,Reading Comprehension
140,Manager,Monitoring
140,Manager,Active Listening
141,Research Director,IBM Lotus 1-2-3
141,Research Director,Reading Comprehension
141,Research Director,Critical Thinking
141,Research Director,Graphics software
141,Research Director,Writing
141,Research Director,Clinical trial management software
141,Research Director,Adobe Photoshop
141,Research Director,Science
142,Sales Executive,Active Listening
142,Sales Executive,Airtable
142,Sales Executive,Adobe Acrobat
142,Sales Executive,Adobe Creative Cloud software
142,Sales Executive,Critical Thinking
142,Sales Executive,Reading Comprehension
142,Sales Executive,Monitoring
142,Sales Executive,Adobe ActionScript
142,Sales Executive,Act!
143,Research Scientist,Reading Comprehension
143,Research Scientist,Algorithmic software
143,Research Scientist,Advanced numerical software
143,Research Scientist,Amazon DynamoDB
143,Research Scientist,Active Listening
143,Research Scientist,Ada
143,Research Scientist,Active Learning
