EmployeeID,Department,JobRole,Age,MonthlyIncome,AttritionProbability,RiskLevel,EngagementScore,PerformanceRating,WorkLifeBalanceScore,SkillGaps,GapCount,UpskillingRecommendation,TopRiskDrivers
14,Research & Development,Laboratory Technician,35,2426,0.0468,LOW,90,3,3,"Email software, Laboratory information management system LIMS",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"MonthlyIncome, TotalSatisfactionScore, DistanceFromHome"
15,Research & Development,Laboratory Technician,29,4193,0.0972,LOW,100,3,3,"Monitoring, Reading Comprehension",2,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"OverTime_No, StockOptionLevel, Age"
16,Research & Development,Research Scientist,31,2911,0.0347,LOW,100,3,2,"Active Learning, Active Listening, Ada, Mathematics, Reading Comprehension",5,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"EnvironmentSatisfaction, DistanceFromHome, YearsSinceLastPromotion"
18,Research & Development,Laboratory Technician,34,2661,0.0586,LOW,100,3,3,"C++, Database software, Microsoft Access, Reading Comprehension, Writing",5,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"DistanceFromHome, JobRole_Laboratory Technician, MonthlyIncome"
19,Research & Development,Laboratory Technician,28,2028,0.9749,HIGH,91,3,3,"C++, Database software, Linux, Microsoft Access, Science, Writing",6,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, MonthlyIncome, DistanceFromHome"
20,Research & Development,Manufacturing Director,29,9980,0.0814,LOW,85,3,3,"Active Listening, Adobe InDesign",2,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"YearsSinceLastPromotion, TotalSatisfactionScore, DistanceFromHome"
21,Research & Development,Research Scientist,32,3298,0.0454,LOW,82,3,2,"3D graphics software, Active Learning, Active Listening, Advanced numerical software, Amazon Elastic Compute Cloud EC2",5,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"OverTime_No, TotalSatisfactionScore, DailyRate"
22,Research & Development,Laboratory Technician,22,2935,0.3692,MEDIUM,100,3,2,"Email software, Laboratory information management system LIMS, Microsoft Access, Monitoring, Reading Comprehension, Science",6,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"OverTime_No, YearsWithCurrManager, Age"
23,Sales,Manager,53,15427,0.0377,LOW,100,3,3,"Active Listening, Adobe Photoshop, Critical Thinking, Speaking",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, IncomePerYearAtCompany, Department_Research & Development"
24,Research & Development,Research Scientist,38,3944,0.1143,LOW,100,3,3,"Active Listening, Ada, Amazon Elastic Compute Cloud EC2, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, NumCompaniesWorked, StockOptionLevel"
26,Research & Development,Manufacturing Director,24,4011,0.0116,LOW,100,3,2,"ABB Optimize IT Predict & Control, Adobe After Effects, Adobe InDesign, Monitoring",4,Recommended: Advanced Certification in ABB Optimize IT Predict & Control (Addresses critical gap: ABB Optimize IT Predict & Control),"ExperienceRatio, EnvironmentSatisfaction, DistanceFromHome"
27,Sales,Sales Representative,36,3407,0.6793,HIGH,75,4,3,"ACT! Premium, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Critical Thinking, Reading Comprehension",6,Recommended: Advanced Certification in ACT! Premium (Addresses critical gap: ACT! Premium),"TotalSatisfactionScore, NumCompaniesWorked, StockOptionLevel"
28,Research & Development,Research Director,34,11994,0.0248,LOW,92,3,3,IBM Lotus 1-2-3,1,Recommended: Advanced Certification in IBM Lotus 1-2-3 (Addresses critical gap: IBM Lotus 1-2-3),"TotalSatisfactionScore, StockOptionLevel, DailyRate"
30,Research & Development,Research Scientist,21,1232,0.1475,LOW,100,3,3,"3D graphics software, Active Learning, Active Listening, Algorithmic software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Critical Thinking",7,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"YearsWithCurrManager, MonthlyIncome, TotalWorkingYears"
31,Research & Development,Research Scientist,34,2960,0.1709,LOW,70,3,3,"Algorithmic software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Reading Comprehension",4,Recommended: Advanced Certification in Algorithmic software (Addresses critical gap: Algorithmic software),"TotalSatisfactionScore, StockOptionLevel, PercentSalaryHike"
32,Research & Development,Manager,53,19094,0.0111,LOW,100,3,2,"Act!, Adobe Acrobat, Reading Comprehension",3,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"PercentSalaryHike, NumCompaniesWorked, JobRole_Research Scientist"
33,Research & Development,Research Scientist,32,3919,0.9685,HIGH,62,4,3,"3D graphics software, Amazon Elastic Compute Cloud EC2, Critical Thinking",3,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"OverTime_No, JobInvolvement, StockOptionLevel"
35,Sales,Sales Executive,42,6825,0.1113,LOW,100,3,3,"Adobe ActionScript, Airtable, Reading Comprehension",3,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"PercentSalaryHike, DailyRate, Department_Research & Development"
36,Research & Development,Healthcare Representative,44,10248,0.0447,LOW,100,3,3,"3DGrid HIPAA Checkup, American Medical Association CodeManager",2,Recommended: Advanced Certification in 3DGrid HIPAA Checkup (Addresses critical gap: 3DGrid HIPAA Checkup),"EnvironmentSatisfaction, YearsSinceLastPromotion, DailyRate"
38,Sales,Manager,46,18947,0.0549,LOW,82,3,2,"Active Listening, Critical Thinking",2,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"TotalSatisfactionScore, StockOptionLevel, EducationField_Marketing"
39,Research & Development,Laboratory Technician,33,2496,0.1709,LOW,100,3,3,"C++, Email software, Laboratory information management system LIMS, Monitoring, Reading Comprehension, Science",6,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"YearsWithCurrManager, MonthlyIncome, JobRole_Laboratory Technician"
40,Research & Development,Healthcare Representative,44,6465,0.0139,LOW,100,3,4,"AcuStaf, Reading Comprehension",2,Recommended: Advanced Certification in AcuStaf (Addresses critical gap: AcuStaf),"OverTime_No, StockOptionLevel, WorkLifeBalance"
41,Research & Development,Laboratory Technician,30,2206,0.0584,LOW,100,3,3,"Email software, Microsoft Access",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"MonthlyIncome, StockOptionLevel, JobRole_Laboratory Technician"
42,Sales,Sales Representative,39,2086,0.794,HIGH,100,3,4,"Active Listening, Adobe Acrobat, Adobe Illustrator",3,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"MonthlyIncome, YearsWithCurrManager, EducationField_Technical Degree"
45,Research & Development,Research Scientist,24,2293,0.9306,HIGH,93,3,2,"Active Learning, Ada, Advanced numerical software, Algorithmic software",4,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"OverTime_No, MonthlyIncome, YearsWithCurrManager"
46,Research & Development,Research Scientist,43,2645,0.0019,LOW,100,3,2,"Ada, Algorithmic software, Amazon DynamoDB, Critical Thinking, Reading Comprehension",5,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"MonthlyIncome, BusinessTravel_Non-Travel, YearsInCurrentRole"
47,Sales,Sales Representative,50,2683,0.6475,HIGH,90,3,3,"3M Post-it App, Adobe Dreamweaver, Adobe Illustrator",3,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"OverTime_No, StockOptionLevel, TotalSatisfactionScore"
49,Sales,Sales Representative,35,2014,0.3068,MEDIUM,100,3,3,"3M Post-it App, ACT! Premium, Reading Comprehension, Writing",4,Recommended: Advanced Certification in 3M Post-it App (Addresses critical gap: 3M Post-it App),"MonthlyIncome, TotalWorkingYears, DailyRate"
51,Research & Development,Research Scientist,36,3419,0.2229,LOW,96,3,4,"Active Learning, Ada, Advanced numerical software, Amazon Elastic Compute Cloud EC2, Reading Comprehension",5,Recommended: Advanced Certification in Active Learning (Addresses critical gap: Active Learning),"OverTime_No, YearsWithCurrManager, NumCompaniesWorked"
52,Sales,Sales Executive,33,5376,0.0711,LOW,87,3,3,"Adobe Acrobat, Adobe Creative Cloud software, Critical Thinking, Monitoring",4,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"TotalSatisfactionScore, BusinessTravel_Travel_Frequently, RelationshipSatisfaction"
53,Research & Development,Laboratory Technician,35,1951,0.139,LOW,100,3,3,"Email software, Laboratory information management system LIMS, Microsoft Access, Monitoring, Science",5,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"MonthlyIncome, YearsWithCurrManager, TotalWorkingYears"
54,Research & Development,Laboratory Technician,27,2341,0.5267,MEDIUM,100,3,3,"C++, Linux, Monitoring, Reading Comprehension, Science",5,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"YearsWithCurrManager, MonthlyIncome, TotalWorkingYears"
55,Research & Development,Laboratory Technician,26,2293,0.957,HIGH,78,3,2,"Database software, Linux, Microsoft Access, Monitoring, Science, Writing",6,Recommended: Advanced Certification in Database software (Addresses critical gap: Database software),"JobInvolvement, TotalWorkingYears, StockOptionLevel"
56,Sales,Sales Executive,27,8726,0.0465,LOW,100,3,3,Reading Comprehension,1,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"StockOptionLevel, BusinessTravel_Travel_Frequently, Age"
57,Research & Development,Laboratory Technician,30,4011,0.063,LOW,100,4,3,"Email software, Writing",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"Age, BusinessTravel_Travel_Frequently, YearsSinceLastPromotion"
58,Research & Development,Research Director,41,19545,0.0127,LOW,98,3,3,"Reading Comprehension, Writing",2,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"StockOptionLevel, YearsSinceLastPromotion, TrainingTimesLastYear"
60,Sales,Sales Executive,34,4568,0.0336,LOW,100,4,3,"Active Listening, Apple Keynote, Speaking",3,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"StockOptionLevel, DistanceFromHome, YearsSinceLastPromotion"
61,Research & Development,Research Scientist,37,3022,0.444,MEDIUM,95,4,3,"Active Listening, Ada, Algorithmic software, Critical Thinking, Reading Comprehension",5,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"TotalSatisfactionScore, StockOptionLevel, YearsWithCurrManager"
62,Sales,Sales Executive,46,5772,0.1778,LOW,100,4,3,Reading Comprehension,1,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"OverTime_No, StockOptionLevel, BusinessTravel_Travel_Frequently"
63,Research & Development,Laboratory Technician,35,2269,0.0368,LOW,100,3,3,"Critical Thinking, Reading Comprehension, Science, Writing",4,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"StockOptionLevel, MonthlyIncome, TotalWorkingYears"
64,Research & Development,Laboratory Technician,48,5381,0.8796,HIGH,96,3,3,"Laboratory information management system LIMS, Microsoft Access, Reading Comprehension",3,Recommended: Advanced Certification in Laboratory information management system LIMS (Addresses critical gap: Laboratory information management system LIMS),"OverTime_No, YearsWithCurrManager, NumCompaniesWorked"
65,Research & Development,Laboratory Technician,28,3441,0.9213,HIGH,93,3,2,"Laboratory information management system LIMS, Linux, Monitoring, Reading Comprehension, Science, Writing",6,Recommended: Advanced Certification in Laboratory information management system LIMS (Addresses critical gap: Laboratory information management system LIMS),"OverTime_No, StockOptionLevel, TotalWorkingYears"
68,Sales,Sales Executive,44,5454,0.0967,LOW,75,4,2,"Reading Comprehension, Speaking",2,Recommended: Information Synthesis and Rapid Document Analysis (Addresses critical gap: Reading Comprehension),"OverTime_No, TotalSatisfactionScore, NumCompaniesWorked"
70,Research & Development,Healthcare Representative,35,9884,0.0802,LOW,99,3,3,AcuStaf,1,Recommended: Advanced Certification in AcuStaf (Addresses critical gap: AcuStaf),"OverTime_No, TotalSatisfactionScore, PromotionLagRatio"
72,Sales,Sales Executive,26,4157,0.2769,LOW,100,3,2,"Active Listening, Adobe Acrobat, Airtable, Monitoring, Reading Comprehension, Speaking",6,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, DistanceFromHome, Age"
73,Research & Development,Research Director,33,13458,0.0745,LOW,100,3,3,Clinical trial management software,1,Recommended: Advanced Certification in Clinical trial management software (Addresses critical gap: Clinical trial management software),"OverTime_No, StockOptionLevel, HourlyRate"
74,Sales,Sales Executive,35,9069,0.2329,LOW,79,4,2,"Act!, Adobe ActionScript, Monitoring",3,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"DistanceFromHome, TotalSatisfactionScore, BusinessTravel_Travel_Frequently"
75,Research & Development,Laboratory Technician,35,4014,0.2387,LOW,94,3,3,"C++, Database software, Laboratory information management system LIMS, Linux, Microsoft Access, Monitoring, Reading Comprehension",7,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, DistanceFromHome, TotalSatisfactionScore"
76,Research & Development,Laboratory Technician,31,5915,0.0266,LOW,100,4,2,"Email software, Writing",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"JobRole_Laboratory Technician, ExperienceRatio, Age"
77,Research & Development,Manufacturing Director,37,5993,0.0063,LOW,100,3,4,"Adobe After Effects, Adobe InDesign, Monitoring",3,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"EnvironmentSatisfaction, WorkLifeBalance, JobRole_Research Scientist"
78,Research & Development,Manufacturing Director,32,6162,0.1025,LOW,100,4,3,"ABB Optimize IT Predict & Control, Reading Comprehension",2,Recommended: Advanced Certification in ABB Optimize IT Predict & Control (Addresses critical gap: ABB Optimize IT Predict & Control),"OverTime_No, DailyRate, YearsSinceLastPromotion"
79,Research & Development,Laboratory Technician,38,2406,0.0917,LOW,100,3,3,"Laboratory information management system LIMS, Linux, Monitoring, Science",4,Recommended: Advanced Certification in Laboratory information management system LIMS (Addresses critical gap: Laboratory information management system LIMS),"YearsSinceLastPromotion, DistanceFromHome, MonthlyIncome"
80,Research & Development,Research Director,50,18740,0.0373,LOW,100,3,2,Graphics software,1,Recommended: Advanced Certification in Graphics software (Addresses critical gap: Graphics software),"OverTime_No, NumCompaniesWorked, YearsSinceLastPromotion"
81,Sales,Sales Executive,59,7637,0.1762,LOW,69,3,2,"Active Listening, Adobe Creative Cloud software, Critical Thinking",3,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"TotalSatisfactionScore, StockOptionLevel, NumCompaniesWorked"
83,Research & Development,Healthcare Representative,36,10096,0.0167,LOW,100,3,3,Speaking,1,Recommended: Advanced Executive Presentation and Persuasive Speaking (Addresses critical gap: Speaking),"YearsSinceLastPromotion, JobRole_Research Scientist, MonthlyRate"
84,Research & Development,Manager,55,14756,0.0461,LOW,100,3,3,"ActionWare, Critical Thinking",2,Recommended: Advanced Certification in ActionWare (Addresses critical gap: ActionWare),"OverTime_No, IncomePerYearAtCompany, JobRole_Research Scientist"
85,Research & Development,Manufacturing Director,36,6499,0.1171,LOW,100,3,3,"ABB Optimize IT Predict & Control, Adobe InDesign, Adobe Photoshop",3,Recommended: Advanced Certification in ABB Optimize IT Predict & Control (Addresses critical gap: ABB Optimize IT Predict & Control),"BusinessTravel_Travel_Frequently, StockOptionLevel, HourlyRate"
86,Research & Development,Research Scientist,45,9724,0.0249,LOW,93,3,3,"3D graphics software, Active Learning, Ada, Mathematics",4,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"YearsWithCurrManager, TotalSatisfactionScore, JobSatisfaction"
88,Research & Development,Research Scientist,35,2194,0.1326,LOW,85,3,2,"Ada, Amazon DynamoDB, Mathematics",3,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"MonthlyIncome, BusinessTravel_Travel_Frequently, TotalSatisfactionScore"
90,Research & Development,Research Scientist,36,3388,0.1067,LOW,90,3,2,"3D graphics software, Active Learning, Active Listening, Ada, Amazon Elastic Compute Cloud EC2, Critical Thinking, Reading Comprehension",7,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"OverTime_No, YearsWithCurrManager, TotalSatisfactionScore"
91,Sales,Sales Executive,59,5473,0.0789,LOW,100,3,2,"Act!, Active Listening, Adobe Creative Cloud software, Airtable, Speaking",5,Recommended: Advanced Certification in Act! (Addresses critical gap: Act!),"NumCompaniesWorked, StockOptionLevel, BusinessTravel_Travel_Frequently"
94,Research & Development,Research Scientist,29,2703,0.0092,LOW,100,4,3,"Algorithmic software, Amazon Elastic Compute Cloud EC2",2,Recommended: Advanced Certification in Algorithmic software (Addresses critical gap: Algorithmic software),"Age, BusinessTravel_Non-Travel, Gender_Female"
95,Research & Development,Research Scientist,31,2501,0.162,LOW,100,3,3,"3D graphics software, Ada, Advanced numerical software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Critical Thinking, Reading Comprehension",7,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"YearsWithCurrManager, StockOptionLevel, TotalWorkingYears"
96,Research & Development,Research Scientist,32,6220,0.0228,LOW,100,3,3,"3D graphics software, Active Learning, Advanced numerical software",3,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"TotalSatisfactionScore, ExperienceRatio, DailyRate"
97,Research & Development,Laboratory Technician,36,3038,0.0917,LOW,100,3,3,"Critical Thinking, Email software, Linux, Science",4,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"YearsWithCurrManager, StockOptionLevel, JobRole_Laboratory Technician"
98,Research & Development,Manufacturing Director,31,4424,0.0259,LOW,100,4,3,"Critical Thinking, Speaking",2,Recommended: Executive Decision Making & Critical Thinking Workshop (Addresses critical gap: Critical Thinking),"StockOptionLevel, Age, ExperienceRatio"
100,Sales,Sales Executive,35,4312,0.0579,LOW,91,3,3,Apple Keynote,1,Recommended: Advanced Certification in Apple Keynote (Addresses critical gap: Apple Keynote),"StockOptionLevel, TotalSatisfactionScore, JobSatisfaction"
101,Research & Development,Research Director,45,13245,0.0126,LOW,100,3,4,"Active Listening, Adobe Acrobat, Critical Thinking, Graphics software, Reading Comprehension, Science",6,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, YearsWithCurrManager, StockOptionLevel"
102,Research & Development,Research Director,37,13664,0.0649,LOW,100,3,4,"ESRI ArcGIS software, Graphics software",2,Recommended: Advanced Certification in ESRI ArcGIS software (Addresses critical gap: ESRI ArcGIS software),"TotalSatisfactionScore, StockOptionLevel, DailyRate"
103,Human Resources,Human Resources,46,5021,0.169,LOW,95,4,3,"Adobe Dreamweaver, Adobe InDesign, Reading Comprehension, Speaking",4,Recommended: Advanced Certification in Adobe Dreamweaver (Addresses critical gap: Adobe Dreamweaver),"OverTime_No, NumCompaniesWorked, JobRole_Research Scientist"
104,Research & Development,Laboratory Technician,30,5126,0.0564,LOW,100,3,2,"Email software, Linux",2,Recommended: Advanced Certification in Email software (Addresses critical gap: Email software),"OverTime_No, YearsWithCurrManager, YearsSinceLastPromotion"
105,Research & Development,Research Scientist,35,2859,0.054,LOW,100,3,3,"Ada, Algorithmic software, Amazon Elastic Compute Cloud EC2, Reading Comprehension",4,Recommended: Advanced Certification in Ada (Addresses critical gap: Ada),"StockOptionLevel, TotalSatisfactionScore, RelationshipSatisfaction"
106,Sales,Sales Executive,55,10239,0.1019,LOW,100,3,3,"Adobe Creative Cloud software, Airtable, Critical Thinking, Monitoring, Reading Comprehension",5,Recommended: Advanced Certification in Adobe Creative Cloud software (Addresses critical gap: Adobe Creative Cloud software),"YearsWithCurrManager, EnvironmentSatisfaction, Department_Research & Development"
107,Research & Development,Research Scientist,38,5329,0.007,LOW,100,3,3,"3D graphics software, Active Listening",2,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"JobInvolvement, OverTime_No, NumCompaniesWorked"
110,Research & Development,Manufacturing Director,34,4325,0.0447,LOW,88,3,3,"Adobe After Effects, Adobe Photoshop, Critical Thinking",3,Recommended: Advanced Certification in Adobe After Effects (Addresses critical gap: Adobe After Effects),"StockOptionLevel, TotalSatisfactionScore, EnvironmentSatisfaction"
112,Research & Development,Manufacturing Director,56,7260,0.0729,LOW,100,3,2,"ABB Optimize IT Predict & Control, Adobe Acrobat, Apple Final Cut Pro",3,Recommended: Advanced Certification in ABB Optimize IT Predict & Control (Addresses critical gap: ABB Optimize IT Predict & Control),"StockOptionLevel, JobInvolvement, PercentSalaryHike"
113,Sales,Sales Representative,23,2322,0.3658,MEDIUM,100,3,3,"ACT! Premium, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Critical Thinking, Reading Comprehension, Writing",7,Recommended: Advanced Certification in ACT! Premium (Addresses critical gap: ACT! Premium),"YearsWithCurrManager, MonthlyIncome, Age"
116,Research & Development,Laboratory Technician,51,2075,0.0477,LOW,100,4,3,"C++, Laboratory information management system LIMS, Microsoft Access, Science, Writing",5,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"MonthlyIncome, DailyRate, JobRole_Laboratory Technician"
117,Research & Development,Healthcare Representative,30,4152,0.0564,LOW,100,3,3,"Adobe Acrobat, Alteer Office",2,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"YearsSinceLastPromotion, ExperienceRatio, DailyRate"
118,Sales,Sales Executive,46,9619,0.8055,HIGH,100,3,3,"Apple Keynote, Monitoring",2,Recommended: Advanced Certification in Apple Keynote (Addresses critical gap: Apple Keynote),"YearsSinceLastPromotion, StockOptionLevel, ExperienceRatio"
119,Research & Development,Healthcare Representative,40,13503,0.0167,LOW,100,4,2,"Active Listening, AcuStaf, Adobe Acrobat, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"BusinessTravel_Travel_Frequently, YearsSinceLastPromotion, IncomePerYearAtCompany"
120,Sales,Sales Executive,51,5441,0.197,LOW,100,4,1,"Adobe Creative Cloud software, Critical Thinking, Monitoring",3,Recommended: Advanced Certification in Adobe Creative Cloud software (Addresses critical gap: Adobe Creative Cloud software),"OverTime_No, JobRole_Sales Executive, DistanceFromHome"
121,Sales,Sales Executive,30,5209,0.0446,LOW,89,3,2,Active Listening,1,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, TotalSatisfactionScore, JobRole_Sales Executive"
124,Research & Development,Healthcare Representative,46,10673,0.0998,LOW,84,3,2,3DGrid HIPAA Checkup,1,Recommended: Advanced Certification in 3DGrid HIPAA Checkup (Addresses critical gap: 3DGrid HIPAA Checkup),"OverTime_No, TotalSatisfactionScore, BusinessTravel_Travel_Frequently"
125,Sales,Sales Executive,32,5010,0.2029,LOW,100,3,3,"Adobe Creative Cloud software, Airtable, Reading Comprehension",3,Recommended: Advanced Certification in Adobe Creative Cloud software (Addresses critical gap: Adobe Creative Cloud software),"StockOptionLevel, TotalSatisfactionScore, RelationshipSatisfaction"
126,Research & Development,Research Director,54,13549,0.0043,LOW,67,3,1,"Adobe Acrobat, Reading Comprehension, Writing",3,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"TotalSatisfactionScore, NumCompaniesWorked, EnvironmentSatisfaction"
128,Sales,Sales Executive,24,4999,0.079,LOW,85,4,2,"Adobe ActionScript, Airtable, Critical Thinking, Speaking",4,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"TotalSatisfactionScore, Age, RelationshipSatisfaction"
129,Sales,Sales Executive,28,4221,0.0273,LOW,100,3,4,"Monitoring, Reading Comprehension",2,Recommended: Performance Monitoring and KPI Management Masterclass (Addresses critical gap: Monitoring),"StockOptionLevel, Age, WorkLifeBalance"
131,Sales,Sales Executive,58,13872,0.0488,LOW,100,3,2,"Adobe Acrobat, Critical Thinking, Monitoring",3,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"StockOptionLevel, JobRole_Sales Executive, HourlyRate"
132,Research & Development,Laboratory Technician,44,2042,0.061,LOW,100,3,4,"C++, Microsoft Access, Writing",3,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"MonthlyIncome, DistanceFromHome, JobRole_Laboratory Technician"
133,Human Resources,Human Resources,37,2073,0.8713,HIGH,79,4,3,"Active Listening, Adobe Illustrator, Critical Thinking, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, MonthlyIncome, StockOptionLevel"
